# High-Utility Itemsets (Readable)
# Total: 411

DOT #UTIL: 49810.56 #SUP: 706
22423 #UTIL: 42669.85 #SUP: 1988
85099B DOT #UTIL: 40628.87 #SUP: 485
21935 DOT #UTIL: 36052.74 #SUP: 336
22697 DOT #UTIL: 34160.40 #SUP: 331
22379 DOT #UTIL: 33591.60 #SUP: 338
22961 DOT #UTIL: 33510.65 #SUP: 296
21731 DOT #UTIL: 33143.61 #SUP: 313
21931 DOT #UTIL: 32385.38 #SUP: 395
22411 DOT #UTIL: 31684.03 #SUP: 363
20712 DOT #UTIL: 31577.86 #SUP: 361
22457 DOT #UTIL: 31337.63 #SUP: 290
22699 DOT #UTIL: 31229.06 #SUP: 287
22960 DOT #UTIL: 30695.70 #SUP: 254
22666 DOT #UTIL: 30180.27 #SUP: 252
22386 DOT #UTIL: 29128.28 #SUP: 345
84032A DOT #UTIL: 28047.72 #SUP: 215
22197 DOT #UTIL: 27980.16 #SUP: 319
DOT 22720 #UTIL: 26903.17 #SUP: 235
DOT 23199 #UTIL: 26546.44 #SUP: 257
21934 DOT #UTIL: 26533.49 #SUP: 220
22630 DOT #UTIL: 26393.21 #SUP: 234
21232 DOT #UTIL: 26311.49 #SUP: 217
21494 DOT #UTIL: 25984.40 #SUP: 200
20713 DOT #UTIL: 25945.04 #SUP: 249
23843 #UTIL: 25918.40 #SUP: 1
22077 DOT #UTIL: 25808.91 #SUP: 202
82580 DOT #UTIL: 25794.80 #SUP: 252
85099C DOT #UTIL: 25493.02 #SUP: 272
22178 DOT #UTIL: 25385.29 #SUP: 228
21790 DOT #UTIL: 24975.17 #SUP: 203
47566 #UTIL: 24912.88 #SUP: 1685
85123A #UTIL: 24895.21 #SUP: 2198
21928 DOT #UTIL: 24803.46 #SUP: 260
22196 DOT #UTIL: 24692.39 #SUP: 228
22086 DOT #UTIL: 24342.78 #SUP: 159
DOT 22698 #UTIL: 24221.57 #SUP: 216
82482 DOT #UTIL: 23851.02 #SUP: 229
22469 DOT #UTIL: 23639.45 #SUP: 235
22144 DOT #UTIL: 23559.91 #SUP: 131
DOT 22993 #UTIL: 23230.40 #SUP: 206
DOT 23245 #UTIL: 23126.57 #SUP: 160
DOT 84946 #UTIL: 23028.59 #SUP: 227
22629 DOT #UTIL: 22805.71 #SUP: 191
85099B #UTIL: 22767.21 #SUP: 2089
22659 DOT #UTIL: 21910.45 #SUP: 192
DOT 21218 #UTIL: 21683.89 #SUP: 193
84032B DOT #UTIL: 21520.47 #SUP: 132
22422 DOT #UTIL: 21503.77 #SUP: 144
21993 DOT #UTIL: 21444.84 #SUP: 230
21929 DOT #UTIL: 21441.97 #SUP: 233
22371 DOT #UTIL: 21428.28 #SUP: 153
DOT 21876 #UTIL: 21388.84 #SUP: 143
DOT 23301 #UTIL: 21322.41 #SUP: 156
22423 DOT #UTIL: 21152.60 #SUP: 195
DOT 23084 #UTIL: 21137.25 #SUP: 167
21930 DOT #UTIL: 20823.24 #SUP: 211
DOT 20718 #UTIL: 20656.38 #SUP: 183
22219 DOT #UTIL: 20607.37 #SUP: 235
DOT 21174 #UTIL: 20504.82 #SUP: 164
22195 DOT #UTIL: 20040.48 #SUP: 162
20725 DOT #UTIL: 19940.19 #SUP: 224
22173 DOT #UTIL: 19912.17 #SUP: 157
20711 DOT #UTIL: 19885.42 #SUP: 273
21328 DOT #UTIL: 19844.49 #SUP: 154
22141 DOT #UTIL: 19802.46 #SUP: 114
DOT 21216 #UTIL: 19776.23 #SUP: 188
85123A DOT #UTIL: 19711.84 #SUP: 213
21990 DOT #UTIL: 19555.94 #SUP: 201
22952 DOT #UTIL: 19356.68 #SUP: 134
22109 DOT #UTIL: 19336.29 #SUP: 143
22355 DOT #UTIL: 19269.46 #SUP: 210
DOT 20719 #UTIL: 19246.02 #SUP: 213
21212 DOT #UTIL: 19200.93 #SUP: 210
DOT 84988 #UTIL: 19190.91 #SUP: 206
DOT 22385 #UTIL: 19181.68 #SUP: 208
DOT 23182 #UTIL: 19117.42 #SUP: 186
22083 DOT #UTIL: 19051.89 #SUP: 142
21889 DOT #UTIL: 18976.07 #SUP: 138
22381 DOT #UTIL: 18906.54 #SUP: 184
DOT 23201 #UTIL: 18828.82 #SUP: 149
21992 DOT #UTIL: 18757.38 #SUP: 243
DOT 23300 #UTIL: 18501.92 #SUP: 125
21977 DOT #UTIL: 18482.79 #SUP: 198
22358 DOT #UTIL: 18326.72 #SUP: 147
21080 DOT #UTIL: 18319.92 #SUP: 236
84378 DOT #UTIL: 18294.61 #SUP: 164
DOT 20724 #UTIL: 18173.37 #SUP: 209
DOT 22722 #UTIL: 18086.35 #SUP: 168
21559 DOT #UTIL: 17923.17 #SUP: 148
DOT 23328 #UTIL: 17882.27 #SUP: 123
22352 DOT #UTIL: 17878.24 #SUP: 161
22139 DOT #UTIL: 17785.35 #SUP: 132
22619 DOT #UTIL: 17773.80 #SUP: 111
21786 DOT #UTIL: 17747.56 #SUP: 146
22174 DOT #UTIL: 17734.90 #SUP: 118
22107 DOT #UTIL: 17718.93 #SUP: 122
22207 DOT #UTIL: 17705.16 #SUP: 103
DOT 21181 #UTIL: 17697.47 #SUP: 147
DOT 21558 #UTIL: 17641.45 #SUP: 144
21035 DOT #UTIL: 17460.61 #SUP: 180
21314 DOT #UTIL: 17448.57 #SUP: 200
84380 DOT #UTIL: 17407.50 #SUP: 168
22090 DOT #UTIL: 17330.06 #SUP: 220
22356 DOT #UTIL: 17263.04 #SUP: 183
22900 DOT #UTIL: 17257.43 #SUP: 147
DOT 21430 #UTIL: 17182.71 #SUP: 158
22378 DOT #UTIL: 17174.24 #SUP: 184
DOT 22456 #UTIL: 16903.98 #SUP: 167
DOT 23170 #UTIL: 16901.51 #SUP: 121
20726 DOT #UTIL: 16849.64 #SUP: 144
22086 #UTIL: 16584.72 #SUP: 1160
21257 DOT #UTIL: 16527.43 #SUP: 110
21116 DOT #UTIL: 16525.66 #SUP: 135
22502 #UTIL: 16503.08 #SUP: 463
20717 DOT #UTIL: 16491.35 #SUP: 158
DOT 23171 #UTIL: 16481.30 #SUP: 116
23084 #UTIL: 16416.83 #SUP: 994
DOT 47566 #UTIL: 16359.37 #SUP: 217
22297 DOT #UTIL: 16352.55 #SUP: 157
21916 DOT #UTIL: 16338.46 #SUP: 114
22179 DOT #UTIL: 16283.72 #SUP: 111
22135 DOT #UTIL: 16277.62 #SUP: 135
22423 47566 #UTIL: 16276.21 #SUP: 395
84347 DOT #UTIL: 16243.02 #SUP: 130
84375 DOT #UTIL: 16194.69 #SUP: 106
21803 DOT #UTIL: 16142.88 #SUP: 148
22966 DOT #UTIL: 16061.01 #SUP: 114
DOT 22621 #UTIL: 16026.90 #SUP: 107
22663 DOT #UTIL: 15984.94 #SUP: 135
DOT 22817 #UTIL: 15922.38 #SUP: 171
22161 DOT #UTIL: 15885.64 #SUP: 188
22386 85099B #UTIL: 15863.95 #SUP: 825
22844 DOT #UTIL: 15826.09 #SUP: 122
22114 DOT #UTIL: 15798.72 #SUP: 91
20963 DOT #UTIL: 15727.72 #SUP: 100
DOT 22212 #UTIL: 15680.04 #SUP: 147
22739 DOT #UTIL: 15667.21 #SUP: 97
DOT 22278 #UTIL: 15615.46 #SUP: 94
84692 DOT #UTIL: 15509.29 #SUP: 154
22086 22910 #UTIL: 15497.67 #SUP: 552
47593B DOT #UTIL: 15466.94 #SUP: 160
22653 DOT #UTIL: 15420.87 #SUP: 142
21094 DOT #UTIL: 15358.38 #SUP: 203
20723 DOT #UTIL: 15332.60 #SUP: 150
DOT 85131D #UTIL: 15284.50 #SUP: 201
21892 DOT #UTIL: 15256.80 #SUP: 122
84029G DOT #UTIL: 15214.77 #SUP: 107
22910 DOT #UTIL: 15202.08 #SUP: 90
DOT 20733 #UTIL: 15107.28 #SUP: 166
22654 DOT #UTIL: 15103.25 #SUP: 93
22620 DOT #UTIL: 15088.92 #SUP: 120
22424 DOT #UTIL: 15076.63 #SUP: 122
21912 DOT #UTIL: 15059.54 #SUP: 90
21791 DOT #UTIL: 15058.51 #SUP: 128
21874 DOT #UTIL: 15052.53 #SUP: 100
DOT 84596B #UTIL: 15008.57 #SUP: 173
22361 DOT #UTIL: 14972.78 #SUP: 144
DOT 15036 #UTIL: 14968.46 #SUP: 192
22728 DOT #UTIL: 14951.25 #SUP: 127
DOT 23349 #UTIL: 14933.82 #SUP: 84
DOT 23344 #UTIL: 14912.09 #SUP: 123
DOT 23284 #UTIL: 14910.02 #SUP: 87
22470 DOT #UTIL: 14889.38 #SUP: 128
22726 DOT #UTIL: 14868.57 #SUP: 123
DOT 22507 #UTIL: 14803.50 #SUP: 109
22819 DOT #UTIL: 14793.58 #SUP: 154
85131B DOT #UTIL: 14784.45 #SUP: 170
22865 DOT #UTIL: 14772.44 #SUP: 80
DOT 22668 #UTIL: 14710.56 #SUP: 144
84879 #UTIL: 14699.94 #SUP: 1455
22423 22699 #UTIL: 14694.80 #SUP: 525
DOT 21231 #UTIL: 14606.98 #SUP: 139
22419 DOT #UTIL: 14589.19 #SUP: 124
85039A DOT #UTIL: 14573.87 #SUP: 133
DOT 22795 #UTIL: 14561.12 #SUP: 79
82551 DOT #UTIL: 14465.93 #SUP: 108
22866 DOT #UTIL: 14426.15 #SUP: 69
21329 DOT #UTIL: 14391.75 #SUP: 81
21982 DOT #UTIL: 14377.07 #SUP: 109
22069 DOT #UTIL: 14268.14 #SUP: 93
82567 DOT #UTIL: 14259.02 #SUP: 154
22549 DOT #UTIL: 14231.66 #SUP: 95
DOT 21217 #UTIL: 14223.46 #SUP: 87
DOT 21356 #UTIL: 14220.35 #SUP: 109
DOT 85174 #UTIL: 14196.49 #SUP: 82
22502 DOT #UTIL: 14179.06 #SUP: 228
21169 DOT #UTIL: 14146.58 #SUP: 106
85176 DOT #UTIL: 14103.11 #SUP: 103
22616 DOT #UTIL: 14075.92 #SUP: 128
21154 DOT #UTIL: 13978.45 #SUP: 123
22814 DOT #UTIL: 13972.87 #SUP: 148
DOT 21974 #UTIL: 13969.61 #SUP: 138
22142 DOT #UTIL: 13892.76 #SUP: 63
85099B 85099F #UTIL: 13886.29 #SUP: 536
DOT 84596F #UTIL: 13831.14 #SUP: 160
84969 DOT #UTIL: 13826.73 #SUP: 137
21888 DOT #UTIL: 13810.81 #SUP: 99
21557 DOT #UTIL: 13785.80 #SUP: 113
21843 DOT #UTIL: 13692.08 #SUP: 114
22501 DOT #UTIL: 13688.88 #SUP: 187
DOT 23351 #UTIL: 13684.08 #SUP: 77
22367 DOT #UTIL: 13665.07 #SUP: 75
DOT 23158 #UTIL: 13632.42 #SUP: 75
47566 23298 #UTIL: 13593.81 #SUP: 483
22489 DOT #UTIL: 13587.18 #SUP: 125
DOT 23197 #UTIL: 13571.32 #SUP: 70
71053 DOT #UTIL: 13492.13 #SUP: 85
22383 DOT #UTIL: 13487.00 #SUP: 184
22553 DOT #UTIL: 13485.86 #SUP: 89
22041 DOT #UTIL: 13437.85 #SUP: 142
21175 DOT #UTIL: 13406.88 #SUP: 108
84970S DOT #UTIL: 13402.17 #SUP: 130
85199S DOT #UTIL: 13374.94 #SUP: 112
DOT 21948 #UTIL: 13368.79 #SUP: 103
22594 DOT #UTIL: 13365.29 #SUP: 82
DOT 21900 #UTIL: 13359.91 #SUP: 115
22494 DOT #UTIL: 13348.13 #SUP: 133
82600 DOT #UTIL: 13333.28 #SUP: 125
22734 DOT #UTIL: 13317.62 #SUP: 76
21802 DOT #UTIL: 13280.20 #SUP: 134
20728 DOT #UTIL: 13267.67 #SUP: 100
22815 DOT #UTIL: 13255.84 #SUP: 155
DOT 23307 #UTIL: 13252.64 #SUP: 127
DOT 22131 #UTIL: 13251.13 #SUP: 118
22645 DOT #UTIL: 13231.13 #SUP: 65
22384 DOT #UTIL: 13230.33 #SUP: 116
79321 #UTIL: 13225.01 #SUP: 661
48185 DOT #UTIL: 13214.58 #SUP: 128
22558 DOT #UTIL: 13206.43 #SUP: 134
22909 DOT #UTIL: 13179.16 #SUP: 112
21523 DOT #UTIL: 13150.31 #SUP: 91
22357 DOT #UTIL: 13142.07 #SUP: 99
85049H DOT #UTIL: 13112.80 #SUP: 124
DOT 22029 #UTIL: 13103.94 #SUP: 136
84031A DOT #UTIL: 13042.37 #SUP: 109
21774 DOT #UTIL: 13037.95 #SUP: 133
22867 DOT #UTIL: 13018.47 #SUP: 77
21991 DOT #UTIL: 13018.20 #SUP: 120
22074 DOT #UTIL: 12995.40 #SUP: 112
23166 #UTIL: 12977.83 #SUP: 247
DOT 20676 #UTIL: 12968.80 #SUP: 135
84991 DOT #UTIL: 12933.37 #SUP: 137
DOT 22578 #UTIL: 12801.41 #SUP: 89
DOT 23382 #UTIL: 12786.12 #SUP: 57
DOT 22446 #UTIL: 12768.40 #SUP: 107
21137 DOT #UTIL: 12758.07 #SUP: 65
48194 DOT #UTIL: 12739.13 #SUP: 119
20961 DOT #UTIL: 12736.10 #SUP: 82
22423 22355 #UTIL: 12689.06 #SUP: 234
DOT 23198 #UTIL: 12655.40 #SUP: 100
21033 DOT #UTIL: 12654.15 #SUP: 192
22076 DOT #UTIL: 12590.06 #SUP: 96
22488 DOT #UTIL: 12574.83 #SUP: 109
22348 DOT #UTIL: 12555.72 #SUP: 107
DOT 85039B #UTIL: 12550.42 #SUP: 128
21914 DOT #UTIL: 12549.56 #SUP: 92
79321 DOT #UTIL: 12535.68 #SUP: 80
DOT 21936 #UTIL: 12523.40 #SUP: 147
20685 DOT #UTIL: 12517.54 #SUP: 110
22134 DOT #UTIL: 12516.13 #SUP: 113
20727 DOT #UTIL: 12482.13 #SUP: 141
22423 22697 #UTIL: 12480.35 #SUP: 509
DOT 21918 #UTIL: 12416.01 #SUP: 91
DOT 84978 #UTIL: 12352.83 #SUP: 155
DOT 22692 #UTIL: 12339.39 #SUP: 95
DOT 72349b #UTIL: 12324.38 #SUP: 82
85049E DOT #UTIL: 12322.27 #SUP: 83
16237 DOT #UTIL: 12302.13 #SUP: 126
20973 DOT #UTIL: 12299.54 #SUP: 81
21098 DOT #UTIL: 12289.77 #SUP: 86
DOT 84536A #UTIL: 12225.29 #SUP: 121
84992 DOT #UTIL: 12208.05 #SUP: 118
22988 DOT #UTIL: 12191.98 #SUP: 92
DOT 23309 #UTIL: 12191.09 #SUP: 118
21810 DOT #UTIL: 12183.05 #SUP: 86
DOT 22581 #UTIL: 12131.06 #SUP: 83
DOT 21932 #UTIL: 12125.32 #SUP: 134
22807 DOT #UTIL: 12124.41 #SUP: 88
22813 DOT #UTIL: 12115.00 #SUP: 70
22835 DOT #UTIL: 12109.58 #SUP: 89
20914 DOT #UTIL: 12100.84 #SUP: 118
22646 DOT #UTIL: 12084.19 #SUP: 69
DOT 22421 #UTIL: 12066.85 #SUP: 101
21949 DOT #UTIL: 12041.33 #SUP: 86
82578 DOT #UTIL: 11964.59 #SUP: 88
84970L DOT #UTIL: 11893.24 #SUP: 127
85099F DOT #UTIL: 11883.63 #SUP: 155
DOT 23203 #UTIL: 11868.28 #SUP: 140
22574 DOT #UTIL: 11865.70 #SUP: 75
DOT 23089 #UTIL: 11865.18 #SUP: 92
20972 DOT #UTIL: 11822.59 #SUP: 92
48138 DOT #UTIL: 11810.68 #SUP: 97
22573 DOT #UTIL: 11809.91 #SUP: 77
21212 22423 #UTIL: 11786.77 #SUP: 357
DOT 23172 #UTIL: 11783.78 #SUP: 82
21156 DOT #UTIL: 11771.07 #SUP: 73
DOT 21933 #UTIL: 11767.63 #SUP: 136
22197 #UTIL: 11761.75 #SUP: 1392
22075 DOT #UTIL: 11759.81 #SUP: 76
21210 DOT #UTIL: 11757.12 #SUP: 88
22577 DOT #UTIL: 11751.07 #SUP: 83
22754 DOT #UTIL: 11744.42 #SUP: 76
22969 DOT #UTIL: 11685.03 #SUP: 120
DOT 21908 #UTIL: 11658.34 #SUP: 103
22355 47566 #UTIL: 11637.90 #SUP: 249
22812 DOT #UTIL: 11637.84 #SUP: 68
22651 DOT #UTIL: 11602.19 #SUP: 81
22580 DOT #UTIL: 11595.53 #SUP: 81
22187 DOT #UTIL: 11591.92 #SUP: 51
22776 DOT #UTIL: 11562.49 #SUP: 83
22759 DOT #UTIL: 11553.60 #SUP: 106
