# High-Utility Itemsets
# Total: 1396

953 #UTIL: 49810.56 #SUP: 706
533 #UTIL: 42669.85 #SUP: 1988
141 953 #UTIL: 40628.87 #SUP: 485
792 953 #UTIL: 36052.74 #SUP: 336
627 953 #UTIL: 34160.40 #SUP: 331
115 953 #UTIL: 33591.60 #SUP: 338
79 953 #UTIL: 33510.65 #SUP: 296
40 953 #UTIL: 33143.61 #SUP: 313
77 953 #UTIL: 32385.38 #SUP: 395
82 953 #UTIL: 31684.03 #SUP: 363
643 953 #UTIL: 31577.86 #SUP: 361
127 953 #UTIL: 31337.63 #SUP: 290
622 953 #UTIL: 31229.06 #SUP: 287
22 953 #UTIL: 30695.70 #SUP: 254
713 953 #UTIL: 30180.27 #SUP: 252
60 953 #UTIL: 29128.28 #SUP: 345
914 953 #UTIL: 28047.72 #SUP: 215
171 953 #UTIL: 27980.16 #SUP: 319
953 2612 #UTIL: 26903.17 #SUP: 235
953 3324 #UTIL: 26546.44 #SUP: 257
90 953 #UTIL: 26533.49 #SUP: 220
364 953 #UTIL: 26393.21 #SUP: 234
214 953 #UTIL: 26311.49 #SUP: 217
435 953 #UTIL: 25984.40 #SUP: 200
355 953 #UTIL: 25945.04 #SUP: 249
4070 #UTIL: 25918.40 #SUP: 1
374 953 #UTIL: 25808.91 #SUP: 202
242 953 #UTIL: 25794.80 #SUP: 252
61 953 #UTIL: 25493.02 #SUP: 272
307 953 #UTIL: 25385.29 #SUP: 228
406 953 #UTIL: 24975.17 #SUP: 203
1647 #UTIL: 24912.88 #SUP: 1685
1 #UTIL: 24895.21 #SUP: 2198
775 953 #UTIL: 24803.46 #SUP: 260
164 953 #UTIL: 24692.39 #SUP: 228
47 953 #UTIL: 24342.78 #SUP: 159
953 2405 #UTIL: 24221.57 #SUP: 216
55 953 #UTIL: 23851.02 #SUP: 229
128 953 #UTIL: 23639.45 #SUP: 235
378 953 #UTIL: 23559.91 #SUP: 131
953 3109 #UTIL: 23230.40 #SUP: 206
953 3547 #UTIL: 23126.57 #SUP: 160
953 965 #UTIL: 23028.59 #SUP: 227
36 953 #UTIL: 22805.71 #SUP: 191
141 #UTIL: 22767.21 #SUP: 2089
37 953 #UTIL: 21910.45 #SUP: 192
953 969 #UTIL: 21683.89 #SUP: 193
432 953 #UTIL: 21520.47 #SUP: 132
841 953 #UTIL: 21503.77 #SUP: 144
798 953 #UTIL: 21444.84 #SUP: 230
78 953 #UTIL: 21441.97 #SUP: 233
318 953 #UTIL: 21428.28 #SUP: 153
953 1625 #UTIL: 21388.84 #SUP: 143
953 3487 #UTIL: 21322.41 #SUP: 156
533 953 #UTIL: 21152.60 #SUP: 195
953 3453 #UTIL: 21137.25 #SUP: 167
593 953 #UTIL: 20823.24 #SUP: 211
953 1171 #UTIL: 20656.38 #SUP: 183
314 953 #UTIL: 20607.37 #SUP: 235
953 1009 #UTIL: 20504.82 #SUP: 164
